_id,awayTeam,homeTeam,competition,date,totalScores,home,away,firstQuarterAwayScore,firstQuarterHomeScore,secondQuarterAwayScore,secondQuarterHomeScore,thirdQuarterAwayScore,thirdQuarterHomeScore,fourthQuarterAwayScore,fourthQuarterHomeScore
492653450,Cleveland Cavaliers (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700943600,204,119,85,13,31,16,30,29,36,27,22
492502741,Boston Celtics (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700907600,193,88,105,29,14,25,27,17,24,34,23
492199696,Brooklyn Nets (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700799600,196,102,94,24,27,24,17,22,29,24,29
492161532,Atlanta Hawks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700778000,208,99,109,31,25,24,25,33,25,21,24
492485254,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700902800,198,104,94,28,22,14,28,32,22,20,32
492310599,Cleveland Cavaliers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700840400,226,114,112,25,28,30,30,31,21,26,35
492216801,New York Knicks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700809200,206,102,104,34,19,27,29,19,20,24,34
492625643,Philadelphia 76ers (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700936400,193,94,99,29,25,17,23,28,23,25,23
492415860,Cleveland Cavaliers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700874000,209,107,102,24,26,22,27,17,26,39,28
492319119,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700842800,201,113,88,24,30,24,25,21,32,19,26
492222619,Milwaukee Bucks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700811600,203,91,112,32,38,24,13,27,19,29,21
492603371,Miami Heat (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700931600,186,86,100,26,22,21,23,26,16,27,25
492558913,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700922000,182,114,68,14,30,9,39,26,21,19,24
492387272,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700862000,190,77,113,30,19,34,24,21,11,28,23
492235078,New York Knicks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700816400,202,112,90,16,33,32,27,18,28,24,24
492195993,Cleveland Cavaliers (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700797200,200,102,98,26,21,23,31,17,29,32,21
492548333,Atlanta Hawks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700919600,220,122,98,19,25,34,25,16,36,29,36
492427510,Brooklyn Nets (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700878800,211,115,96,23,25,27,19,21,41,25,30
492403691,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700869200,214,113,101,26,33,30,23,19,20,26,37
492398380,Milwaukee Bucks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700866800,231,112,119,31,18,24,36,28,27,36,31
492295771,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700835600,203,103,100,29,29,14,30,24,19,33,25
492212046,Brooklyn Nets (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700806800,193,109,84,21,21,20,28,22,21,21,39
492593885,Cleveland Cavaliers (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700929200,179,85,94,25,20,20,26,28,16,21,23
492459686,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700893200,207,99,108,25,23,16,22,28,21,39,33
492242748,Milwaukee Bucks (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700818800,207,101,106,26,25,31,23,22,24,27,29
492179311,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700787600,203,98,105,22,23,31,22,29,26,23,27
492184120,Cleveland Cavaliers (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700790000,194,108,86,26,25,27,22,18,28,15,33
492364354,Cleveland Cavaliers (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700854800,236,122,114,21,30,36,22,25,33,32,37
492980223,Boston Celtics (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701070800,186,85,101,28,15,26,20,21,25,26,25
493114799,Philadelphia 76ers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1701121200,214,111,103,27,25,21,27,28,28,27,31
493061710,Cleveland Cavaliers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701102000,213,102,111,31,23,25,36,22,27,33,16
493041351,Brooklyn Nets (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1701094800,173,95,78,17,28,24,29,19,14,18,24
493047312,Miami Heat (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701097200,191,99,92,22,33,25,16,22,24,23,26
